Date,Open,High,Low,Close,Volume
2021-01-25,319.1834340390993,320.5517408885989,311.90522501949016,318.4070739746094,39080600
2021-01-26,319.12536772197075,320.0084610712456,317.54356477849626,318.873046875,25498100
2021-01-27,316.611897036331,316.6215811795314,307.97506282722816,309.9838562011719,55264000
2021-01-28,311.1871293959602,316.7670898509468,310.56604132137005,311.8179016113281,42836300
2021-01-29,310.12938113488104,311.2356833198105,303.5110843851895,305.2578430175781,55259000
2021-02-01,308.70286470856337,313.9723117313327,306.67467355944177,312.88543701171875,35646000
2021-02-02,315.8550047689654,319.1447412126092,315.6900189320008,317.98992919921875,33930800
2021-02-03,320.0666692786615,320.43543677138626,316.670170225849,316.7283935546875,24824500
2021-02-04,318.1257625951368,320.56151710841505,316.8059649139539,320.47418212890625,22350900
2021-02-05,321.42522112926486,322.5703192674995,319.785195145218,321.5610656738281,22732000
2021-02-08,323.2496370050291,323.8706956486756,321.6096109896816,323.7154235839844,20462800
2021-02-09,322.7837657777463,324.9090055272404,322.7740520206348,323.6474609375,17597500
2021-02-10,325.0837227656463,325.5398251895536,319.7560815961624,322.90997314453125,28068700
2021-02-11,324.4431535180057,325.0933532551644,322.2985161066726,324.6857604980469,22046100
2021-02-12,323.84155615786074,326.6655055105712,322.79350683015826,326.50054931640625,20346800
2021-02-16,327.2963452147633,328.189152289969,324.4529973761557,325.6175231933594,27080800
2021-02-17,322.6382065694726,325.733874337598,320.4062339586188,324.0550231933594,31360300
2021-02-18,320.46449507390537,323.99683810078176,318.64976957687827,322.63824462890625,32236200
2021-02-19,323.9870911810246,324.11325156462794,320.2121415057278,321.2310791015625,39157700
2021-02-22,316.8447510977488,318.10629568792734,312.7010340802083,312.9048156738281,47256900
2021-02-23,307.6257376291465,313.6424042805588,301.80316846266425,311.9732666015625,97241900
2021-02-24,309.31420922120384,314.8553743878626,306.6164205834435,314.5448303222656,58206300
2021-02-25,311.8859018058299,314.4478165943364,302.0360328819496,303.5790100097656,110182600
2021-02-26,306.5096737454074,309.67324872222144,301.6866456522158,304.8502502441406,104739800
2021-03-01,309.82858676351515,314.3604992835473,308.5379303464416,314.0208435058594,49164500
2021-03-02,314.66126235235896,314.7388835576029,308.7319618013117,308.9842529296875,48370000
2021-03-03,307.88764245430826,308.8289586813757,299.9592632687446,300.0174865722656,86301100
2021-03-04,299.64886689024576,302.8124728109093,291.23524000439056,295.1072692871094,139131600
2021-03-05,297.72731779857696,300.45421828563053,288.65383910417154,299.5517272949219,121523700
2021-03-08,299.0082847367922,300.89091751487416,290.6529134776161,291.0701904296875,88409800
2021-03-09,298.37749497943514,304.4523836677571,297.84377143149953,302.5503234863281,80391100
2021-03-10,306.8105349295509,307.1113652549474,300.99768040417115,301.6866760253906,76798100
2021-03-11,306.4320580789124,310.4011052935316,305.5392808474941,308.63494873046875,53484800
2021-03-12,304.57850441390707,308.8192994633188,302.1815757902684,306.1311950683594,69315600
2021-03-15,306.4515006835125,309.5665666196471,304.8114748108951,309.4015808105469,42955700
2021-03-16,311.5947507990918,314.6127975485344,309.66360838343024,311.0998229980469,54925900
2021-03-17,308.06238098379487,314.2731142716138,306.34470446712464,312.3807678222656,78258700
2021-03-18,307.4995633846593,308.47970529373805,302.356306031816,302.8124084472656,82718100
2021-03-19,302.64738972382185,305.4228293330054,300.5027520361212,303.8798522949219,78446200
2021-03-22,306.275026373792,311.6482714100857,306.275026373792,309.5786437988281,56194800
2021-03-23,310.6668264135562,311.9882611197806,307.41178081607006,308.2279663085937,53455400
2021-03-24,309.5980210235108,309.6368954739455,302.8838904448759,303.0296325683594,64803700
