Date,Open,High,Low,Close,Volume
2021-04-20,267.59417921809813,278.0695835421591,267.59417921809813,272.8832702636719,608800
2021-04-21,275.275453211621,276.5369901758525,270.2667205613564,272.25714111328125,857000
2021-04-22,271.2199430233727,277.62105357883064,267.229775520737,275.2662048339844,458900
2021-04-23,275.667985434235,281.79809157467923,275.1633648657744,277.0603332519531,667400
2021-04-26,276.52773122256315,278.8451931764069,275.39700462197857,277.33135986328125,560400
2021-04-27,278.1630278311097,280.60197497135204,274.3877701342445,275.46240234375,1037300
2021-04-28,276.20999031464567,280.424449379105,273.8084296504648,278.3592834472656,474400
2021-04-29,277.7799311076265,279.12556713611224,274.0887715749045,278.5461730957031,513300
2021-04-30,281.0972407386763,281.85415733245213,278.1630268418264,280.07867431640625,549700
2021-05-03,280.46174212944067,280.9383296916408,278.3872230884971,279.08807373046875,498700
2021-05-04,278.56482356066965,280.4804709144357,275.34089862924884,277.4434509277344,583200
2021-05-05,275.76146913041816,277.44349985878,272.3880253518059,274.9297790527344,581700
2021-05-06,274.73354944936466,274.73354944936466,270.09859687218056,272.444091796875,533500
2021-05-07,272.86457469515733,275.15403202005297,270.27610937280855,271.84600830078125,790200
2021-05-10,273.64018421254093,274.46252041198386,270.76203603218397,272.920654296875,614000
2021-05-11,271.01433636848765,272.82720615032247,267.7997649110708,272.35064697265625,527700
2021-05-12,272.5935887099787,272.7711398699792,265.2019451320263,265.6224670410156,456100
2021-05-13,264.0525339144903,266.30460440048853,263.0059346965985,264.61322021484375,604300
2021-05-14,266.45412544318333,271.68712158752976,264.9589714657886,269.7060546875,461200
2021-05-17,268.967857641544,270.04251843894565,266.9774651578732,269.5939636230469,434000
2021-05-18,269.30422039793996,274.69608819303295,264.9402441505002,272.2384338378906,657400
2021-05-19,271.55494442408997,274.0268741471872,267.1354570862387,270.02874755859375,488400
2021-05-20,269.8789062878172,277.3976489774948,269.71034485882507,274.44818115234375,408400
2021-05-21,272.3882965896678,274.52313202296745,271.37704220966384,272.4070129394531,613300
2021-05-24,273.80213838233385,278.886412842901,270.77777659297357,277.6598205566406,945200
2021-05-25,276.98562374531286,281.51746530904575,273.8114458714205,279.7196960449219,525500
2021-05-26,279.2422659077507,282.4351610366209,276.8452585890849,279.4763488769531,618600
2021-05-27,278.57743125690496,280.50627250945746,276.55495110795505,278.2216491699219,1307800
2021-05-28,279.98194467464253,282.21041909076104,278.58681933622427,279.1392517089844,582000
2021-06-01,278.895827505557,283.7460488379216,277.7441574675597,283.0250549316406,560200
2021-06-02,286.3677441112905,290.2160830689168,284.44827515118897,289.897705078125,755000
2021-06-03,290.07562525958883,293.3715319951813,287.50071240969885,289.72918701171875,606500
2021-06-04,290.9463976333886,293.30594354038436,288.455751555381,292.8190612792969,414300
2021-06-07,296.32093656190375,297.00446908737166,292.5943255768299,295.1318054199219,540300
2021-06-08,296.6018411509485,298.22170560008396,292.80970844363713,297.2104797363281,727200
2021-06-09,298.8771400504764,299.62619410590895,296.2741386321645,296.545654296875,397700
2021-06-10,296.5643805324533,300.3846016937405,295.2160604579805,298.36212158203125,955800
2021-06-11,299.31713616650455,299.31713616650455,295.64670370916383,297.1354675292969,478000
2021-06-14,296.8827109692887,299.6729612602706,296.8827109692887,299.6355285644531,769200
2021-06-15,299.83220657983287,301.78913685072376,298.74605813087567,299.3734130859375,549100
2021-06-16,300.71234485878506,302.4819972228901,294.7572593452087,297.0887451171875,642300
2021-06-17,295.7123363138658,301.65804936854954,294.53254902069176,301.3865051269531,723900
2021-06-18,299.7197803463783,301.40516596227326,297.03251296207077,298.16546630859375,982300
2021-06-21,299.72913103077406,300.98384067223196,296.13362068062594,300.6748352050781,520100
2021-06-22,300.01011598456205,301.6580693189902,298.137452131651,300.59063720703125,391400
2021-06-23,300.58133564204496,300.58133564204496,296.63001283742057,297.0232849121094,508700
2021-06-24,299.01756832775703,299.2891125527122,295.23477982599536,295.6280517578125,570200
2021-06-25,295.1973110511931,299.120543509413,294.92579540771686,298.7834777832031,2049600
2021-06-28,299.75726077007664,302.98758816939613,298.0531301237143,302.28533935546875,607700
2021-06-29,300.8902572724017,302.7160873053005,299.63557597414734,301.50823974609375,396500
2021-06-30,301.72356017355,303.35279699072254,297.80032751444566,298.4089660644531,614400
2021-07-01,298.2685422015853,301.57379296354276,296.21797286977704,299.6636962890625,612600
2021-07-02,300.4688534708104,303.05313824992794,300.4126758516624,302.28533935546875,389400
2021-07-06,301.6673852364579,306.208600373615,300.4969704369112,305.43145751953125,436600
2021-07-07,306.07746330874375,311.42390896865334,303.4744339197102,309.7384948730469,722800
2021-07-08,308.90520379826654,311.4801160501401,306.6954460615151,307.9688720703125,669800
2021-07-09,307.9689392074828,309.0550876776388,305.35656511611245,308.3621826171875,421100
2021-07-12,308.3995712392783,310.42205116503106,306.6860967800776,309.55126953125,401100
2021-07-13,309.44831532934063,310.983913335545,307.66929046390925,308.1936340332031,424300
2021-07-14,308.42765392863686,311.5081931991819,306.71417950343033,310.6561279296875,356800
2021-07-15,311.4146035093913,312.17303001448914,308.89586857161896,311.16180419921875,374000
2021-07-16,310.5719224501299,314.50452776186864,310.5719224501299,312.83782958984375,247000
2021-07-19,312.004608309328,315.2349657409764,309.401606007373,313.231201171875,550400
2021-07-20,314.16742349643516,316.46144795153054,312.11685446543754,313.9520568847656,545000
2021-07-21,313.95199027274157,313.95199027274157,309.69169270243196,310.82464599609375,349500
2021-07-22,309.7198624678335,313.2030182532747,306.7048726289592,312.8284912109375,508600
2021-07-23,313.4932684886271,315.8715594194326,311.0307111191757,315.581298828125,290500
2021-07-26,315.1411976083268,317.0232050766488,311.9295864245881,316.6580505371094,464900
2021-07-27,316.63000231764045,319.47645932674925,314.3828114471155,319.0925598144531,389200
2021-07-28,318.3715796079149,321.0307589191011,317.313548506215,318.6524963378906,449200
2021-07-29,318.17501285379575,321.59261934940787,315.70311093565056,316.8922424316406,425800
2021-07-30,317.32285503850545,324.4483552036711,317.32285503850545,319.27978515625,851900
2021-08-02,319.2797301713285,322.9127016588385,317.83779995894264,320.5625,493300
2021-08-03,327.71617434337855,328.3060680291299,311.33036562620964,323.98956298828125,540700
2021-08-04,322.8004069607738,327.7816992864942,320.06630537178586,326.8453674316406,583700
2021-08-05,328.56816322062065,328.56816322062065,321.44266406098154,324.841552734375,511500
2021-08-06,324.17682423865335,326.33037613017734,323.00640939009,324.9165344238281,364800
2021-08-09,323.9708220286921,325.9933022656822,323.26857313701146,324.52325439453125,290000
2021-08-10,324.43894373946125,325.58126959056017,319.34529685337196,319.57000732421875,282900
2021-08-11,320.0007949259454,327.13563933475746,319.5981504977516,324.42962646484375,406300
2021-08-12,324.2610282526123,328.27789924044305,323.46514059389597,327.9220886230469,369000
2021-08-13,328.6337930485454,331.73304946946007,327.44463320258285,331.2835998535156,507700
2021-08-16,331.3303650779449,332.89405179473084,329.2423634009721,330.0101623535156,672400
2021-08-17,330.4221363163669,337.0419802994409,329.44834326205586,336.7985534667969,482900
2021-08-18,335.7310895512785,336.49888839742556,329.0831288161591,331.1336975097656,664300
2021-08-19,332.21989986714016,338.07197390241794,329.47645441730117,336.9483642578125,504300
2021-08-20,337.2386679194296,341.03080062751457,335.72178626161406,339.1019592285156,489500
2021-08-23,337.9690006732148,337.9690006732148,335.0382773415318,335.29107666015625,293600
2021-08-24,336.0869280416449,336.0869280416449,329.4108779450064,330.18804931640625,540900
2021-08-25,330.7601478903403,330.7601478903403,326.7178832531223,327.8620910644531,547700
2021-08-26,328.8281984834534,330.1693809086784,326.4647648044812,328.706298828125,632200
2021-08-27,328.4999320861065,331.96069128670905,327.2337957846273,330.9102478027344,806300
2021-08-30,331.42602494924915,336.87507234639355,330.788277293992,336.3592529296875,405300
